"","V3","V1","V2.y"
"436","ALG",107331,"Algeria"
"437","ALG",79733,"Algeria"
"438","ALG",31784,"Algeria"
"439","ALG",64291,"Algeria"
"440","ALG",112577,"Algeria"
"441","ALG",31780,"Algeria"
"442","ALG",127237,"Algeria"
"443","ALG",31777,"Algeria"
"444","ALG",64289,"Algeria"
"445","ALG",120908,"Algeria"
"446","ALG",31776,"Algeria"
"447","ALG",31787,"Algeria"
"448","ALG",64290,"Algeria"
"449","AND",120273,"Andorra"
"450","AND",114744,"Andorra"
"451","AND",64314,"Andorra"
"452","AND",116625,"Andorra"
"453","AND",14535,"Andorra"
"454","AND",34089,"Andorra"
"455","AND",121904,"Andorra"
"456","AND",93239,"Andorra"
"457","AND",64313,"Andorra"
"458","AND",63395,"Andorra"
"459","AND",112679,"Andorra"
"460","AND",3295,"Andorra"
"461","AND",104812,"Andorra"
"462","AND",106731,"Andorra"
"463","AND",103761,"Andorra"
"464","AND",44901,"Andorra"
"465","AND",64315,"Andorra"
"466","AND",16084,"Andorra"
"467","AND",103741,"Andorra"
"468","AND",83229,"Andorra"
"469","AND",41061,"Andorra"
"470","AND",44902,"Andorra"
"471","AND",61014,"Andorra"
"472","AND",16083,"Andorra"
"473","AND",41065,"Andorra"
"474","AND",41064,"Andorra"
"475","AND",63396,"Andorra"
"476","AND",41063,"Andorra"
"477","AND",41062,"Andorra"
"478","ANG",124452,"Angola"
"479","ANG",33454,"Angola"
"480","ANG",108742,"Angola"
"481","ANG",113535,"Angola"
"482","ANG",124901,"Angola"
"483","ANG",124661,"Angola"
"484","ANG",33735,"Angola"
"485","ANG",7302,"Angola"
"486","ANG",31799,"Angola"
"487","ANG",3300,"Angola"
"488","ANG",7059,"Angola"
"489","ANG",116510,"Angola"
"490","ANG",113536,"Angola"
"491","ANG",44912,"Angola"
"492","ANG",44913,"Angola"
"493","ANG",108465,"Angola"
"494","ANG",124662,"Angola"
"495","ANG",124787,"Angola"
"496","ANG",33423,"Angola"
"497","ANG",108747,"Angola"
"498","ANG",113534,"Angola"
"499","ANG",5965,"Angola"
"500","ANG",124454,"Angola"
"501","ANG",108745,"Angola"
"502","ANG",44914,"Angola"
"503","ANG",108463,"Angola"
"504","ANG",108743,"Angola"
"505","ANG",44915,"Angola"
"506","ANG",124663,"Angola"
"507","ANG",3299,"Angola"
"508","ANG",124457,"Angola"
"509","ANG",3296,"Angola"
"510","ANG",108746,"Angola"
"511","ANG",31797,"Angola"
"512","ANG",89757,"Angola"
"513","ANG",108462,"Angola"
"514","ANG",108744,"Angola"
"515","ANG",64326,"Angola"
"516","ANG",91601,"Angola"
"517","ANG",109556,"Angola"
"518","ANG",120272,"Angola"
"519","ANG",31794,"Angola"
